"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"31","Julius Randle","Nyk","F-C","28.4","2","33.3","34.8","21.4","7","0.714","23","0.391","17","0.353","0.45","0.476","20.5","9","2.5","1.5","0","5.5","29.5","23","32","9.3","87.4","105.6"
"32","Trae Young","Atl","G","24.6","2","34.3","32.6","19.9","13","0.692","27","0.407","13","0.231","0.388","0.437","20","3","7","2","0","5","23","27","30","8.7","89.9","119.5"
"33","Torrey Craig","Pho","F","32.3","2","29.3","18.3","4.5","3","0.667","9","0.889","12","0.583","0.881","0.874","19.5","3.5","1.5","1.5","0","0.5","23","21","24.5","6.4","159.6","104"
"34","Andrew Wiggins","Gol","F","28.2","2","33.7","24.7","5.4","6","0.667","19","0.684","16","0.188","0.5","0.518","19.5","4","0.5","0.5","2","1","23.5","20","24","4","102.6","108.6"
"35","D'Angelo Russell","Lal","G","27.2","1","35.8","23.2","10.3","2","1","8","0.5","9","0.333","0.5","0.531","19","4","7","1","0","2","23","26","30","9.1","111.1","108.4"
"36","Russell Westbrook","Lac","G","34.4","2","36.3","26","12.4","11","0.909","26","0.346","9","0.333","0.386","0.464","18.5","7.5","6.5","1","2.5","2.5","26","25","32.5","10.6","106.6","112.4"
"37","Anthony Edwards","Min","G","21.7","1","27.7","32.3","6.1","6","0.833","11","0.455","4","0.25","0.433","0.51","18","2","5","2","1","1","20","23","25","8.2","111.8","101.9"
"38","Kevin Love","Mia","F-C","34.6","1","22.7","20.8","0","4","1","2","0.5","7","0.571","0.778","0.836","18","8","1","0","0","0","26","19","27","9.2","170.5","103.8"
"39","Ja Morant","Mem","G","23.7","1","30.1","29.5","30","0","0","11","0.545","3","0.667","0.643","0.643","18","6","2","2","0","6","24","20","26","8","84","101.2"
"40","Michael Porter Jr.","Den","F","24.8","1","31.2","24.7","0","1","0","8","0.375","9","0.444","0.529","0.516","18","11","2","1","0","0","29","20","31","9.4","110.8","109"
"41","Domantas Sabonis","Sac","F-C","27","2","37.3","22.7","19.3","16","0.625","28","0.464","1","0","0.448","0.499","18","12.5","3","1.5","0","3.5","30.5","21","33.5","9.4","102.6","105.2"
"42","Deandre Ayton","Pho","C","24.7","2","32.4","20.5","7","2","1","26","0.577","0","0","0.577","0.595","16","10.5","0","0","0.5","1","26.5","16","26.5","0","112.8","99.6"
"43","Jrue Holiday","Mil","G","32.9","1","34.8","24.1","5.1","2","1","9","0.444","9","0.222","0.389","0.424","16","7","16","1","0","1","23","32","39","14","125.8","106.7"
"44","Eric Gordon","Lac","G","34.3","2","32.4","18.1","3.6","2","1","10","0.4","16","0.438","0.558","0.577","15.5","1.5","2","0","0","0.5","17","17.5","19","4.4","117.7","110.6"
"45","James Harden","Phi","G","33.6","2","37.3","26.2","20.9","0","0","13","0.154","21","0.429","0.456","0.456","15.5","4.5","10","2.5","0","4.5","20","25.5","30","9.5","95.1","107.9"
"46","Dillon Brooks","Mem","G-F","27.2","1","28.9","24.2","7","4","0.75","4","0.75","9","0.222","0.462","0.508","15","4","2","0","0","1","19","17","21","6.8","105.5","106.5"
"47","Kentavious Caldwell-Pope","Den","G","30.2","1","31.4","16.9","8.3","0","0","5","0.6","6","0.5","0.682","0.682","15","4","1","0","0","1","19","16","20","5","123.8","120.7"
"48","Caleb Martin","Mia","F","27.6","1","25.7","18.4","21.4","4","0.75","4","0.75","3","0.667","0.857","0.856","15","3","0","0","0","2","18","15","18","0","130.2","102.3"
"49","Gabe Vincent","Mia","G","26.8","1","33.4","11.7","24.3","2","0.5","1","1","5","0.8","1.167","1.09","15","2","6","0","0","2","17","21","23","6.8","167.7","107.7"
"50","De'Andre Hunter","Atl","F-G","25.4","2","34","20.6","14.5","2","1","16","0.563","13","0.231","0.466","0.485","14.5","7.5","1.5","1","0","2.5","22","16","23.5","6.4","93.8","108.2"
"51","Bruce Brown","Den","G-F","26.7","1","25.3","18","10.8","3","0.667","4","0.75","4","0.5","0.75","0.751","14","3","1","0","1","1","17","15","18","5.5","131.1","115.6"
"52","Bogdan Bogdanovic","Atl","G","30.7","2","30.4","15.5","8.5","1","1","7","0.571","14","0.429","0.619","0.63","13.5","3","4","2","1","1","16.5","17.5","20.5","7.2","128.6","108.5"
"53","Caris LeVert","Cle","G","28.7","2","29.1","21.8","11.4","4","0.75","11","0.545","12","0.333","0.522","0.545","13.5","2.5","2","0","0","1.5","16","15.5","18","5.6","103.3","113.8"
"54","Harrison Barnes","Sac","F","30.9","2","35.2","15.1","0","7","0.714","17","0.529","7","0.143","0.438","0.48","13","6.5","1.5","3","0","0","19.5","14.5","21","5.7","119.3","115.6"
"55","Spencer Dinwiddie","Bro","G","30","2","38.8","22.1","16","8","0.5","18","0.444","8","0.25","0.423","0.44","13","3.5","6.5","1.5","0","2.5","16.5","19.5","23","6.9","94.4","116.1"
"56","Aaron Gordon","Den","F","27.6","1","23.3","20.2","12","6","0.833","3","0.333","4","0.5","0.571","0.674","13","5","1","1","0","1","18","14","19","6.9","136.7","103"
"57","Nikola Jokic","Den","C","28.2","1","28.5","22.2","7.6","3","0.333","12","0.5","0","0","0.5","0.488","13","14","6","1","0","1","27","19","33","14.5","123.8","89.2"
"58","Norman Powell","Lac","G","29.9","2","25.6","20.1","0","8","0.875","14","0.571","7","0.143","0.452","0.53","13","2","2","1.5","0.5","0","15","15","17","5.8","122.9","112.6"
"59","Marcus Smart","Bos","G","29.1","2","32.3","17.6","11.9","2","0.5","12","0.5","10","0.4","0.545","0.546","12.5","6","6.5","3","1","1.5","18.5","19","25","9.7","121.8","107.3"
"60","Grayson Allen","Mil","G","27.5","1","31.4","12.1","22.2","0","0","3","1","4","0.5","0.857","0.857","12","2","3","0","0","2","14","15","17","5.3","131.2","112.3"
"61","Tyler Herro","Mia","G","23.2","1","19.5","22.5","10","0","0","5","0.6","4","0.5","0.667","0.667","12","2","2","0","1","1","14","14","16","7.5","120","113.3"
"62","Jaylen Nowell","Min","G","23.8","1","21.9","26","8.9","2","0.5","4","0.25","6","0.5","0.55","0.551","12","1","2","0","0","1","13","14","15","5.3","110.4","119.2"
"63","Jarrett Allen","Cle","C","25","2","38.9","11.6","10.9","4","0.75","16","0.625","0","0","0.625","0.648","11.5","12","3.5","1.5","1.5","1","23.5","15","27","8.1","143.8","104.7"
"64","Chris Paul","Pho","G","38","2","38.2","15","8.2","2","1","19","0.474","3","0.333","0.477","0.503","11.5","7.5","9","1.5","0.5","1","19","20.5","28","9.6","123.7","105.4"
"65","Kyle Anderson","Min","F-G","29.6","1","26","20.3","0","0","0","8","0.5","3","0.333","0.5","0.5","11","1","3","2","1","0","12","14","15","4.9","112","114.3"
"66","Josh Hart","Nyk","G","28.1","2","29.9","12.2","17.6","0","0","11","0.727","3","0.667","0.786","0.786","11","7","1","1","0","1.5","18","12","19","5.7","136.7","106.5"
"67","Karl-Anthony Towns","Min","C-F","27.4","1","29.6","32.2","21.1","2","0","8","0.5","7","0.143","0.367","0.346","11","10","2","0","0","4","21","13","23","8.2","63.1","107.4"
"68","RJ Barrett","Nyk","F-G","22.8","2","32.2","19.9","3.8","9","0.889","17","0.294","8","0.125","0.26","0.363","10.5","3.5","3","2.5","0","0.5","14","13.5","17","6","92.6","112.7"
"69","Kevin Huerter","Sac","G-F","24.6","2","30.4","18.7","7.1","2","0.5","12","0.583","14","0.143","0.385","0.391","10.5","5","1","0.5","1.5","1","15.5","11.5","16.5","4.9","78.2","107"
"70","Evan Mobley","Cle","C","21.8","2","38.5","17.1","14.2","2","0.5","24","0.417","0","0","0.417","0.422","10.5","12","1","1.5","1","2","22.5","11.5","23.5","5.2","90.8","105.3"
"71","Jordan Poole","Gol","G","23.8","2","18.6","26.4","10.3","10","0.9","9","0.333","8","0.25","0.353","0.491","10.5","2","2","0.5","0.5","1","12.5","12.5","14.5","7.5","107.3","112.1"
"72","Gary Payton II","Gol","G","30.4","2","23.6","15.9","23.2","2","0.5","8","0.875","5","0.4","0.769","0.756","10.5","5","1","2","0","2","15.5","11.5","16.5","6.3","118.2","109.2"
"73","Brook Lopez","Mil","C","35","1","35.8","13.4","29.1","3","0.667","4","1","3","0","0.571","0.601","10","4","1","1","3","3","14","11","15","3.8","93.3","110.7"
"74","Terance Mann","Lac","G-F","26.5","2","25","15.2","39","7","0.857","4","1","5","0.4","0.778","0.828","10","3","1","0.5","0","3","13","11","14","5","114.6","105.5"
"75","Robert Williams III","Bos","C-F","25.5","2","22.3","13.7","21.4","0","0","11","0.909","0","0","0.909","0.909","10","6.5","1.5","0.5","1.5","1.5","16.5","11.5","18","8.3","142.6","103"
"76","Ivica Zubac","Lac","C","26.1","2","29.6","18","28.2","10","0.6","15","0.467","0","0","0.467","0.515","10","10.5","0","1","0","3","20.5","10","20.5","0","95.5","108.2"
"77","Seth Curry","Bro","G","32.7","2","18.3","20.8","7","3","0.667","7","0.571","6","0.5","0.654","0.663","9.5","0","2.5","0","0","0.5","9.5","12","12","0","131.9","119.1"
"78","Malcolm Brogdon","Bos","G","30.4","2","24.8","19","5.4","8","0.875","10","0.4","7","0.143","0.324","0.439","9","6","5","0.5","0.5","0.5","15","14","20","10.4","117.5","105.3"
"79","Joe Ingles","Mil","F-G","35.5","1","15.4","19.2","0","0","0","0","0","7","0.429","0.643","0.643","9","0","2","0","0","0","9","11","11","0","140.1","100"
"80","Tyus Jones","Mem","G","26.9","1","25.4","14","12.5","0","0","5","0.6","2","0.5","0.643","0.643","9","2","3","1","0","1","11","12","14","6","122.9","108.7"
"81","John Collins","Atl","F-C","25.6","2","29.4","14.3","9.8","2","1","10","0.6","8","0.125","0.417","0.45","8.5","5","1","0","1.5","1","13.5","9.5","14.5","4.7","101.6","115.6"
"82","Davion Mitchell","Sac","G","24.6","2","25.1","12.5","13","2","1","5","0.6","8","0.375","0.577","0.612","8.5","1.5","3.5","1.5","0.5","1","10","12","13.5","5.7","125.7","109.1"
"83","Paul Reed","Phi","F","23.8","2","12","25.6","22.3","1","1","10","0.8","0","0","0.8","0.814","8.5","3.5","0","1","0.5","1.5","12","8.5","12","0","127","96.2"
"84","Santi Aldama","Mem","F-C","22.3","1","24.3","11","0","0","0","3","0.333","3","0.667","0.667","0.667","8","6","2","0","0","0","14","10","16","7.5","154.7","116.9"
"85","Clint Capela","Atl","C","28.9","2","24.3","10.7","0","2","0","12","0.667","0","0","0.667","0.621","8","7.5","0","1.5","0.5","0","15.5","8","15.5","0","128.3","114.4"
"86","Mike Conley","Min","G","35.5","1","25","9.6","0","0","0","2","0.5","3","0.667","0.8","0.8","8","4","3","0","0","0","12","11","15","7.3","168.8","119.3"

"87","Rudy Gobert","Min","C","30.8","1","25.7","14.5","16.1","4","0.5","5","0.6","0","0","0.6","0.592","8","13","0","0","2","1","21","8","21","0","113.9","98"
"88","Trey Lyles","Sac","F","27.5","2","16.3","14.5","16.7","0","0","2","1","8","0.5","0.8","0.8","8","5","1","0","0","1","13","9","14","8.4","136.6","99.6"
"89","Max Strus","Mia","G-F","27.1","1","38.3","6.9","16.7","0","0","1","1","4","0.5","0.8","0.8","8","5","2","0","0","1","13","10","15","4.5","132.7","109.6"
"90","Obi Toppin","Nyk","F","25.1","2","14.7","21.7","13.9","2","1","6","0.667","6","0.333","0.583","0.621","8","2","1","0.5","0.5","1","10","9","11","6.9","116.5","114.8"
"91","De'Anthony Melton","Phi","G","24.9","2","21.8","18.7","5.8","2","0.5","4","0.25","12","0.333","0.438","0.444","7.5","2.5","2.5","1","1","0.5","10","10","12.5","6.6","105.4","107.4"
"92","Immanuel Quickley","Nyk","G","23.8","2","23.4","18.8","23.1","8","0.75","7","0.429","6","0.167","0.346","0.454","7.5","2","1.5","1","0","2","9.5","9","11","4.8","85.3","111.4"
"93","Nickeil Alexander-Walker","Min","G","24.6","1","23.5","14","0","2","0.5","2","0","4","0.5","0.5","0.509","7","1","0","0","1","0","8","7","8","0","103.6","118.1"
"94","Dorian Finney-Smith","Bro","F","30","2","22.5","16.6","20","0","0","4","0.25","8","0.5","0.583","0.583","7","4","0.5","1","0","1.5","11","7.5","11.5","4.3","97.1","110.8"
"95","Al Horford","Bos","C-F","36.9","2","35.1","7.5","16.7","0","0","2","0.5","8","0.5","0.7","0.7","7","6.5","2.5","1","2.5","1","13.5","9.5","16","5.5","131.6","111.1"
"96","Luke Kennard","Mem","G","26.8","1","25.7","11.9","15.5","2","1","1","1","4","0.25","0.5","0.595","7","2","1","1","0","1","9","8","10","3.8","117.1","114.2"
"97","Kevon Looney","Gol","F","27.2","2","27.6","9.6","9.7","6","0.667","9","0.556","0","0","0.556","0.601","7","8","1.5","0.5","1","0.5","15","8.5","16.5","6.3","131.8","96.8"
"98","Cedi Osman","Cle","F","28","2","20.8","19.7","23.2","2","0.5","3","0.667","10","0.3","0.5","0.504","7","3.5","1","0.5","0.5","2","10.5","8","11.5","5.6","84.5","98"
"99","Dennis Schroder","Lal","G","29.6","1","20.1","16.4","26.9","2","1","2","0.5","3","0.333","0.5","0.595","7","1","4","0","0","2","8","11","12","6","108.1","104.9"
"100","Giannis Antetokounmpo","Mil","F","28.4","1","10.8","26.4","19.2","4","0.5","4","0.5","0","0","0.5","0.521","6","3","0","0","0","1","9","6","9","0","96.7","96"
"101","Draymond Green","Gol","F","33.1","2","32.4","13.4","41.4","4","0.75","8","0.375","3","0.333","0.409","0.47","6","6.5","8","1.5","0.5","4","12.5","14","20.5","8.4","96.4","103.5"
"102","Isaiah Hartenstein","Nyk","C-F","25","2","24.4","11.6","17.6","5","0.8","9","0.444","0","0","0.444","0.536","6","6","2.5","0.5","0","1","12","8.5","14.5","7.3","128.5","103.4"
"103","Wesley Matthews","Mil","G","36.5","1","17.6","9.6","0","0","0","0","0","4","0.5","0.75","0.75","6","3","1","1","1","0","9","7","10","6","162.5","102"
"104","Day'Ron Sharpe","Bro","F","21.5","1","17.4","16.8","36.8","2","1","3","0.667","0","0","0.667","0.773","6","6","4","0","1","2","12","10","16","12","134.6","98.1"
"105","Onyeka Okongwu","Atl","F-C","22.4","2","21.5","10.1","0","4","0.75","9","0.444","0","0","0.444","0.511","5.5","7","0.5","0","1","0","12.5","6","13","5","146.2","112.7"
"106","Donte DiVincenzo","Gol","G","26.2","2","16.3","11.5","35.5","2","1","1","1","4","0.5","0.8","0.85","5","2.5","2.5","0","0","1.5","7.5","7.5","10","7.7","127.9","104.4"
"107","Zeke Nnaji","Den","F-C","22.3","1","4.3","30.9","33.3","0","0","1","1","1","1","1.25","1.25","5","1","0","1","0","1","6","5","6","0","54","102.5"
"108","Royce O'Neale","Bro","F","29.9","2","31.7","14.1","11.1","0","0","4","0.5","12","0.167","0.313","0.313","5","4.5","4.5","1.5","0","1","9.5","9.5","14","5.9","85","104.1"
"109","Quentin Grimes","Nyk","G","22.9","2","24.5","9.7","23.9","7","0.857","0","0","6","0.167","0.25","0.496","4.5","4","1.5","1.5","0.5","1","8.5","6","10","4.9","105.5","106.6"
"110","Bones Hyland","Lac","G","22.6","2","13.8","22.7","6.9","2","1","6","0.333","7","0.143","0.269","0.324","4.5","1.5","0","0.5","0.5","0.5","6","4.5","6","0","70.7","107.4"
"111","Mason Plumlee","Lac","F-C","33.1","2","15.6","7.2","22.5","3","1","3","1","0","0","1","1.042","4.5","6.5","1","0","0","0.5","11","5.5","12","7.9","187.8","101.7"
"112","Bismack Biyombo","Pho","C","30.6","2","9.6","21","27.7","4","0.5","5","0.6","0","0","0.6","0.592","4","3.5","1","0","2","1","7.5","5","8.5","10","111.6","99.3"
"113","DeAndre Jordan","Den","C","34.7","1","5.9","37.5","40","0","0","3","0.667","0","0","0.667","0.667","4","0","1","0","0","2","4","5","5","0","77.1","86"
"114","Jonathan Kuminga","Gol","F","20.5","2","6.9","28.5","24.1","3","0.667","4","0.75","2","0","0.5","0.546","4","0.5","0.5","0.5","0","1","4.5","4.5","5","5.8","94.7","104.5"
"115","Jock Landale","Pho","C","27.5","1","7.6","28.8","0","4","0.5","3","0.333","0","0","0.333","0.42","4","2","1","0","1","0","6","5","7","10.5","118.7","108.6"
"116","Alex Len","Sac","C","29.8","2","10.6","14.9","50","0","0","4","1","0","0","1","1","4","4","0","0","1","2","8","4","8","0","96.2","88.3"
"117","Robin Lopez","Cle","C","35","1","2.4","38","0","0","0","2","1","0","0","1","1","4","0","0","0","0","0","4","4","4","0","",""
"118","Moses Moody","Gol","G","20.9","1","8.5","14.8","0","0","0","2","1","1","0","0.667","0.667","4","5","1","0","0","0","9","5","10","12.8","163.5","88.5"
"119","Georges Niang","Phi","F","29.8","2","16.4","9.7","28.6","0","0","1","1","4","0.5","0.8","0.8","4","0.5","0","0","0","1","4.5","4","4.5","0","97.3","101.3"
"120","Mitchell Robinson","Nyk","C-F","25","2","23.7","8.1","22.2","0","0","7","0.571","0","0","0.571","0.571","4","6.5","0","1","2","1","10.5","4","10.5","0","114.6","104.8"
"121","Jarred Vanderbilt","Lal","F","24","1","23.4","7.1","0","0","0","3","0.667","1","0","0.5","0.5","4","4","0","0","0","0","8","4","8","0","114.8","100.6"
"122","Josh Okogie","Pho","G","24.6","2","11","12.4","0","2","1","3","0.333","2","0.5","0.5","0.595","3.5","2","1","0","0","0","5.5","4.5","6.5","7","139.5","92.4"
"123","Saddiq Bey","Atl","F","24","2","19.4","12.3","8.9","2","0.5","3","0.333","7","0.143","0.25","0.276","3","2.5","1.5","1","0","0.5","5.5","4.5","7","4.6","73.8","116.7"
"124","Christian Braun","Den","G","22","1","19.5","4.3","0","2","0.5","1","1","0","0","1","0.798","3","3","1","0","1","0","6","4","7","4.3","180.6","120.4"
"125","Troy Brown Jr.","Lal","G-F","23.7","1","16.9","9.9","0","0","0","1","0","3","0.333","0.375","0.375","3","3","1","0","0","0","6","4","7","4.9","91.5","110.7"
"126","Danny Green","Cle","G","35.8","1","19.8","6.9","33.3","0","0","0","0","2","0.5","0.75","0.75","3","4","0","2","0","1","7","3","7","0","86.6","90.7"
"127","Jalen Johnson","Atl","F","21.3","2","9.1","28.7","15.4","0","0","8","0.375","3","0","0.273","0.273","3","4.5","0.5","0.5","0","1","7.5","3.5","8","8.3","63.3","93.9"
"128","Isaac Okoro","Cle","F-G","22.2","2","12.7","19.3","21.2","4","1","3","0.333","4","0","0.143","0.342","3","2","1","0","0","1","5","4","6","5.7","87.4","96.8"
"129","Austin Rivers","Min","G","30.7","1","16.2","8.9","33.3","0","0","0","0","2","0.5","0.75","0.75","3","3","0","0","0","1","6","3","6","0","85.3","118.5"
"130","Duncan Robinson","Mia","F","29","1","6.5","13.5","0","0","0","1","0","1","1","0.75","0.75","3","1","0","0","0","0","4","3","4","0","140.9","117.8"
"131","P.J. Tucker","Phi","F","38","2","23.6","10.6","0","0","0","2","0","9","0.222","0.273","0.273","3","7.5","2.5","2.5","0","0","10.5","5.5","13","6.5","114.9","108.8"
"132","Yuta Watanabe","Bro","G-F","28.5","1","4.7","41","33.3","2","0","0","0","2","0.5","0.75","0.521","3","1","0","0","0","1","4","3","4","0","60.3","118.2"
"133","Nic Claxton","Bro","F-C","24","2","25.6","7.7","13.9","2","0.5","6","0.333","0","0","0.333","0.363","2.5","8","1.5","0","1.5","0.5","10.5","4","12","4.9","97.2","105"
"134","Jalen McDaniels","Phi","F-C","25.2","2","19.5","7","16.7","0","0","3","0.333","2","0.5","0.5","0.5","2.5","3","2","0.5","0","0.5","5.5","4.5","7.5","5.1","108.7","102.4"
"135","Jevon Carter","Mil","G","27.6","1","22.7","7.4","0","0","0","2","0.5","2","0","0.25","0.25","2","2","1","0","0","0","4","3","5","2.8","70.2","113.7"
"136","Jae Crowder","Mil","F","32.8","1","11.8","21.5","16.7","0","0","1","1","4","0","0.2","0.2","2","0","1","0","0","1","2","3","3","0","46.6","102.7"
"137","David Duke Jr.","Bro","G","23.5","1","4.7","42.3","25","0","0","2","0.5","1","0","0.333","0.333","2","0","0","0","0","1","2","2","2","0","47.8","101.3"
"138","Nathan Knight","Min","F-C","25.6","1","4.6","52.2","20","0","0","2","0.5","2","0","0.25","0.25","2","1","0","0","0","1","3","2","3","0","55.2","124.2"
"139","Kyle Lowry","Mia","G","37.1","1","18.5","4.8","50","0","0","1","1","0","0","1","1","2","1","3","1","0","1","3","5","6","3.9","128.4","104.8"
"140","Shake Milton","Phi","G-F","26.6","1","3.3","13.8","0","0","0","1","1","0","0","1","1","2","0","0","1","0","0","2","2","2","0","",""
"141","Keegan Murray","Sac","F","22.7","2","16.1","9.6","13.4","2","1","3","0.333","3","0","0.167","0.291","2","3.5","0.5","0.5","0","0.5","5.5","2.5","6","3.8","87.5","106.3"
"142","Landry Shamet","Pho","G","26.1","2","18.9","8.5","0","0","0","4","0.5","3","0","0.286","0.286","2","1","1.5","0.5","0","0","3","3.5","4.5","3.1","84.6","120.7"
"143","Xavier Tillman","Mem","F","24.3","1","21.9","8.1","0","0","0","4","0.25","0","0","0.25","0.25","2","3","3","1","0","0","5","5","8","4.8","91.3","105.2"
"144","Dean Wade","Cle","F-C","26.4","1","7.5","11.4","0","2","1","0","0","1","0","0","0.532","2","1","0","0","0","0","3","2","3","0","125","116.3"
"145","Nicolas Batum","Lac","G-F","34.3","2","20.2","8.3","12.5","0","0","0","0","7","0.143","0.214","0.214","1.5","1","1.5","0","0","0.5","2.5","3","4","2.6","61.7","111.5"
"146","Joe Harris","Bro","G-F","31.6","2","13.4","14.8","37.5","0","0","0","0","5","0.2","0.3","0.3","1.5","1.5","0","1","0","1.5","3","1.5","3","0","36.3","108.9"
"147","Sam Hauser","Bos","F","25.4","2","13","5.1","0","0","0","0","0","3","0.333","0.5","0.5","1.5","2","0","0","0","0","3.5","1.5","3.5","0","101.3","103.6"
